Title,Topic,Section
A Bar at the Folies-Bergère,Arts,Modern
A Brief History of Time,Arts,General non-fiction
A Brighter Summer Day,Arts,Epic and historical
A Change Is Gonna Come,Arts,"Blues, R&amp;B and Soul"
A Chorus Line,Arts,Musicals
A Christmas Carol,Arts,Fiction of modern era
A Clockwork Orange (film),Arts,Science fiction and fantasy_2
A Clockwork Orange (novel),Arts,Science fiction and fantasy
A Confederacy of Dunces,Arts,Literary fiction
A Connecticut Yankee in King Arthur's Court,Arts,19th century fiction
A Coruña,Geography,Spain
A Cotton Office in New Orleans,Arts,Modern
A Dance to the Music of Time,Arts,Literary fiction
A Day in the Life,Arts,Rock_2
A Dictionary of the English Language,Arts,Nonfiction of early printed book era
A Doll's House,Arts,Fiction of modern era
A Farewell to Arms,Arts,Literary fiction
A Harlot's Progress,Arts,Pre-modern
A House for Mr Biswas,Arts,Literary fiction
A Love Supreme,Arts,Jazz_2
A Midsummer Night's Dream,Arts,Fiction of early printed book era
A Midsummer Night's Dream (Mendelssohn),Arts,Romantic
A Mighty Fortress Is Our God,Arts,Religious music_2
A Moveable Feast,Arts,Biographies and memoirs
A Passage to India,Arts,Literary fiction
A Portrait of the Artist as a Young Man,Arts,Literary fiction
A Prairie Home Companion,Society and social sciences,Programs
A Psalm of Life,Arts,Poetic works of modern era
A Raisin in the Sun,Arts,Drama
A Room of One's Own,Arts,Essays
A Room with a View,Arts,Literary fiction
A Season in Hell,Arts,Poetic works of modern era
A Series of Unfortunate Events,Arts,21st century fiction
A Song of Ice and Fire,Arts,Science fiction and fantasy
A Streetcar Named Desire,Arts,Drama
A Study in Scarlet,Arts,19th century fiction
A Study of History,Arts,General non-fiction
A Sunday Afternoon on the Island of La Grande Jatte,Arts,Painting
A Tale of Two Cities,Arts,19th century fiction
A Tree Grows in Brooklyn (novel),Arts,Literary fiction
A Tribe Called Quest,People,Hip-hop and rap
A Trip to the Moon,Arts,Science fiction and fantasy_2
A True Story,Arts,Fiction of antiquity
A Vindication of the Rights of Woman,Arts,General non-fiction
A cappella,Arts,Music genres and forms: General
A priori and a posteriori,Philosophy and religion,Logic
