sentence_burstiness,word_burstiness,syntax_burstiness,unique_words,syntactic_depth,syntactic_repetitiveness,ai,title,topic,section,words,chars
2.053673264,0.034474225,0.102093213,0.51641791,7,0.435089172,1,Gloria Estefan,People,Popular music: General,271,1756
2.544173442,0.038233977,0.098015257,0.606060606,6.444444444,0.482816138,1,Baryon asymmetry,Physical sciences,Particle physics: General,205,1443
1.07960199,0.041009795,0.089362853,0.527233115,6.555555556,0.485635261,1,James G. Blaine,People,Other_4,403,2732
2.745454545,0.04227849,0.081026466,0.527559055,6,0.472886409,1,Grace in Christianity,Philosophy and religion,Concepts_4,220,1367
0.410798122,0.037454012,0.092963442,0.514880952,6.5,0.464763034,1,Kanchipuram,Geography,South India,284,1952
0.968077724,0.03526873,0.074812814,0.508196721,7.727272727,0.485391818,1,Ethan Allen,People,United States,262,1639
2.112169312,0.037312561,0.08265658,0.485193622,6.6,0.470143743,1,History of the Middle East,History,History by region,378,2542
1.751831107,0.043818555,0.119275201,0.592592593,5.181818182,0.483987339,1,Desert climate,Physical sciences,Climates,211,1445
0.969183359,0.039041152,0.101027034,0.558052434,5.909090909,0.503964995,1,Cricket bat,Everyday life,Sports equipment,236,1477
0.766095762,0.041287041,0.087684553,0.485089463,6.947368421,0.445134206,1,Dominican Republic,Geography,Caribbean_2,421,2898
1.575630252,0.038993542,0.147925746,0.506666667,6.142857143,0.446456996,1,Guinea,Geography,West Africa,323,2160
3.109302326,0.042378705,0.095829088,0.568548387,6.4,0.426240434,1,American frontier,History,North America,215,1490
4.049479167,0.040518502,0.155327524,0.570446735,6.583333333,0.436320558,1,Gnaeus Naevius,People,Europe_5,256,1715
1.744927536,0.039959456,0.096294648,0.521628499,6.866666667,0.454285566,1,Brett Hull,People,Wingers,345,2094
1.035787742,0.043449551,0.094662914,0.56916996,6.545454545,0.536628622,1,Acrobatic gymnastics,Everyday life,Other individual sports,221,1576
2.212217195,0.038456518,0.06862048,0.538167939,6.7,0.440041684,1,Cagayan de Oro,Geography,Mindanao,221,1452
1.119519095,0.04067168,0.07004312,0.515942029,6.214285714,0.524891514,1,Intertidal zone,Physical sciences,Oceanography,303,2037
0.597607656,0.040985972,0.099491699,0.474137931,6.4,0.553229787,1,Covalent bond,Physical sciences,Chemical bonds,209,1366
1.259259259,0.041997183,0.103330734,0.530751708,7.111111111,0.47456577,1,Gustav Mahler,People,Romantic,378,2607
2.681550251,0.043240585,0.129798155,0.501133787,5.555555556,0.451883654,1,Chuck Berry,People,Rock,377,2391
2.731098696,0.03950524,0.109287564,0.5275,7.266666667,0.45767471,1,Cardinal Mazarin,People,France_2,358,2356
1.276060606,0.038207747,0.075466927,0.530351438,6.25,0.503966295,1,Demiurge,Philosophy and religion,Abrahamic and Judaic mythology,275,1884
2.529569892,0.045309558,0.115104297,0.579766537,5.583333333,0.502790642,1,Continuity (fiction),Arts,Narrative,217,1617
1.047360483,0.042427609,0.081730652,0.590277778,6.769230769,0.498975358,1,Deinosuchus,Biology and health sciences,Prehistoric crocodiles,255,1755
1.023502304,0.040396873,0.087324699,0.528455285,6.7,0.468313072,1,Burgundians,History,Europe_4,217,1430
0.969346734,0.039534319,0.088249786,0.523404255,6.7,0.536751101,1,Attractor,Mathematics,Dynamical systems,199,1405
1.174235808,0.034624755,0.088261707,0.552447552,5.9,0.508905358,1,K-pop,Arts,Popular music: General,229,1527
1.57038835,0.03290845,0.076454979,0.55785124,7.875,0.445694766,1,Clement of Alexandria,People,Pre-Schism,206,1442
1.064738292,0.043650346,0.089245847,0.533101045,6.833333333,0.471074334,1,Geology,Physical sciences,Science and medicine,242,1732
1.953153153,0.041179456,0.081110379,0.514666667,6.133333333,0.468466742,1,John C. Breckinridge,People,Other_4,333,2198
1.75,0.034907066,0.101932363,0.585585586,7,0.481679161,1,Abd al-Mu'min,People,Africa_2,192,1270
1.529220779,0.044776205,0.094887208,0.542307692,6.181818182,0.478099237,1,André Previn,People,Pianists,224,1480
1.546520147,0.036601617,0.097708151,0.535626536,7,0.491151241,1,James F. Byrnes,People,Other_10,364,2380
0.765567766,0.038431216,0.083598764,0.48115942,6.538461538,0.503321393,1,Arameans,History,Western Asia,294,1978
1.351573677,0.043321934,0.067092754,0.559259259,6.25,0.486314577,1,Ganesha,Philosophy and religion,Hindu mythology,233,1513
0.823129252,0.040969332,0.086462312,0.520114943,6.5,0.450914987,1,Johan Cruyff,People,Association football,294,1894
0.889632107,0.038867329,0.080172015,0.529585799,7.692307692,0.512085223,1,Andrei Gromyko,People,USSR,299,1907
0.577386935,0.040161547,0.11555255,0.589958159,6.1,0.503263248,1,Common blackbird,Biology and health sciences,Passerida,199,1327
2.197058824,0.042278416,0.109847141,0.554421769,7.25,0.488831289,1,Alan Turing,People,Mathematicians,255,1715
0.632411067,0.037000077,0.069045737,0.540983607,7.727272727,0.4698498,1,Bengal,Geography,Asia: General,253,1659
0.921428571,0.032512991,0.088970807,0.580246914,8,0.505767381,1,Illusions perdues,Arts,19th century fiction,210,1444
3.297757593,0.042523886,0.102529281,0.527508091,6.307692308,0.475186109,1,Kelp forest,Physical sciences,Oceanography,271,1798
1.748792271,0.036905076,0.10046197,0.532786885,7,0.478787162,1,Joseph Karo,People,Judaism,207,1382
0.686619718,0.044793627,0.081899914,0.524926686,5.75,0.511902681,1,Electric battery,Technology,Energy,284,2088
2.251649602,0.045532546,0.106367732,0.507507508,7.333333333,0.471444616,1,Existence of God,Philosophy and religion,Philosophy of religion,293,2019
1.544117647,0.041624699,0.119665593,0.513274336,7.166666667,0.498678486,1,Great Migration (African American),History,Americas_5,408,2743
0.702222222,0.032617391,0.064693275,0.549019608,8,0.50208058,1,Aulus Cornelius Cossus,People,Early republican period,225,1463
1.224594993,0.040088768,0.081889623,0.564705882,5.642857143,0.498722718,1,Brooklyn Bridge,Technology,Transport infrastructure,291,1997
2.223667377,0.036482213,0.074101836,0.54005168,7.071428571,0.45733138,1,Gregor Strasser,People,Nazi Germany,335,2164
0.631964809,0.038916247,0.07384194,0.505338078,6.272727273,0.489258152,1,Conrad Veidt,People,Europe,249,1502
1.266769073,0.036746461,0.086459504,0.570850202,6.888888889,0.36685185,1,Ephesus,History,Asia_3,217,1361
2.59787234,0.036067034,0.095006395,0.585820896,7,0.474658003,1,Joaquin Murrieta,People,"Thievery, robbery and hijacking",235,1503
1.510435301,0.044036941,0.112287237,0.523809524,7.384615385,0.489290732,1,Charles Boycott,People,Other_3,258,1709
0.617857143,0.038644907,0.141494749,0.475285171,6,0.449382265,1,Celtic nations,Geography,Europe and Russia: General,224,1488
3.337442922,0.035293258,0.084817707,0.588,7.666666667,0.470420097,1,Burton Richter,People,Physics,219,1510
1.158706468,0.042852707,0.08448609,0.61637931,6.4,0.512270036,1,Financial crisis,Society and social sciences,Banking and financing,201,1505
1.437313433,0.041303857,0.095269202,0.563559322,5.7,0.496693027,1,Cadaver,Biology and health sciences,Human anatomy,201,1440
1.410315399,0.040977541,0.09438802,0.442396313,7,0.490996339,1,Dragon Ball,Arts,Manga,539,3503
0.680693069,0.032653869,0.08318806,0.582278481,8.25,0.472503411,1,Gloucestershire,Geography,United Kingdom,202,1341
1.648017621,0.038276026,0.101935743,0.596958175,6.1,0.452279317,1,Acherontia lachesis,Biology and health sciences,Lepidoptera,227,1519
0.661368653,0.044048497,0.101515547,0.512747875,6,0.477462461,1,John Woo,People,Asia_5,304,1947
1.105807179,0.048996176,0.082053846,0.52407932,5.352941176,0.488823673,1,Clock,Technology,Navigation and timekeeping,313,2043
1.823357413,0.050513755,0.090850393,0.547619048,6.222222222,0.494008156,1,Data mining,Technology,Computer software,323,2467
1.721193416,0.038377041,0.069511624,0.537953795,6.916666667,0.539128428,1,Horses (album),Arts,Rock_2,243,1686
2.236358797,0.038261764,0.104015208,0.539772727,6,0.502774074,1,Grisons,Geography,Switzerland,289,2012
3.657046742,0.043521085,0.088494516,0.503703704,6.875,0.432436137,1,Battle of Marathon,History,Europe_2,353,2353
1.26484254,0.039653327,0.066748032,0.505988024,6.846153846,0.487540819,1,Christian ethics,Philosophy and religion,Theology,298,2049
0.980699301,0.041557481,0.091252074,0.542682927,6.230769231,0.493273964,1,Auguste Rodin,People,Sculptors,275,1850
1.803952569,0.040929409,0.090550821,0.524904215,6.363636364,0.497948114,1,Baybars,People,Africa_3,230,1494
1.361522199,0.048045303,0.123321844,0.537549407,6.545454545,0.490658094,1,Friction,Physical sciences,Classical mechanics,215,1467
2.765695966,0.043354896,0.090180191,0.487695749,6.157894737,0.462941955,1,John C. Frémont,People,Modern,394,2608
0.683333333,0.043098961,0.082372666,0.505338078,6.25,0.504866363,1,Book of Job,Philosophy and religion,Books of the Bible,240,1576
1.608727273,0.037323695,0.101323036,0.582733813,6.727272727,0.463832835,1,Alan Shepard,People,Space travelers,250,1580
2.214452214,0.037834037,0.106340054,0.532951289,6.230769231,0.439050702,1,Indus River,Geography,Asia_2,297,1973
1.519725557,0.041681835,0.083681112,0.588709677,5.818181818,0.481510713,1,Joseph Saidu Momoh,People,Sierra Leone,212,1441
1.095121951,0.037573662,0.11200741,0.584415584,6.777777778,0.480548586,1,"Edmund Allenby, 1st Viscount Allenby",People,Britain_2,205,1348
1.397368421,0.036624438,0.072436539,0.510574018,7.666666667,0.487211654,1,Gwalior,Geography,Central India,285,1826
1.025174825,0.035954418,0.071450842,0.537974684,7.181818182,0.532118001,1,Bohemian Rhapsody,Arts,Modern,260,1718
0.418367347,0.033521973,0.071021054,0.611111111,6.875,0.477002919,1,Dark ride,Everyday life,Amusement parks,196,1395
1.212411348,0.042683348,0.097689161,0.530075188,6.083333333,0.4859775,1,Ephedrine,Biology and health sciences,Specific drugs,235,1619
2.033085502,0.030884064,0.092317791,0.540983607,7.4,0.451056735,1,A. Philip Randolph,People,United States_4,269,1770
1.830238727,0.038391653,0.107527961,0.550898204,6.615384615,0.483603468,1,Chalcolithic,History,Ancient: General,290,2042
1.360244233,0.036544961,0.082855782,0.558922559,7.363636364,0.473401909,1,Easter Island,Geography,South America_3,268,1737
2.609923011,0.037085927,0.09640337,0.546632124,7.357142857,0.378737343,1,Abby Wambach,People,Others,334,2176
1.236904762,0.038733833,0.087133165,0.538265306,6.533333333,0.48532829,1,Amiens,Geography,France,336,2254
1.465195892,0.039240766,0.088215436,0.558303887,5.545454545,0.484868678,1,Hole (band),People,Alternative rock,239,1589
1.278975741,0.046408686,0.101373058,0.527687296,6.071428571,0.514423015,1,Frostbite,Biology and health sciences,Injury,265,1848
2.681578947,0.038978664,0.094981033,0.539184953,6.416666667,0.372929348,1,Dunkirk evacuation,History,World War II,285,1887
0.828048642,0.044562891,0.087880026,0.512871287,6.047619048,0.480868671,1,Bacteria,Biology and health sciences,Biology,419,3116
1.57910628,0.032419098,0.084662827,0.610655738,6.625,0.415562696,1,Aki Kaurismäki,People,Europe_4,207,1394
1.878637771,0.043140642,0.09232685,0.456790123,6.842105263,0.455594989,1,Dutch language,Society and social sciences,Germanic languages,425,2886
0.728205128,0.036692385,0.070694661,0.593073593,7,0.540229112,1,Arthur Koestler,People,UK and Ireland,195,1366
1.873931624,0.03955229,0.104867149,0.539823009,6.384615385,0.459880632,1,Haridwar,Geography,North India,288,1867
2.087121212,0.045637524,0.088291395,0.614349776,6,0.511355226,1,Dieting,Everyday life,Basics,192,1348
1.200478469,0.038095025,0.081321834,0.579831933,6.1,0.491232335,1,Aldus Manutius,People,Media and communication,209,1444
1.81547619,0.045884169,0.097499563,0.531806616,6,0.487551163,1,Jean-Baptiste Colbert,People,Other_2,336,2428
0.782926829,0.04119646,0.092241623,0.593886463,5.8,0.471027535,1,Army ant,Biology and health sciences,Hymenoptera,205,1359
