sentence_burstiness,word_burstiness,syntax_burstiness,unique_words,syntactic_depth,syntactic_repetitiveness,ai,title,topic,section,words,chars
2.126452495,0.086777112,0.186717557,0.590909091,2.695652174,0.3396271,1,Gloria Estefan,People,Popular music: General,271,1756
2.03625731,0.053942051,0.115910207,0.680751174,4.75,0.415617265,1,Baryon asymmetry,Physical sciences,Particle physics: General,205,1443
0.794152047,0.057067196,0.126982517,0.552631579,3.739130435,0.398966147,1,James G. Blaine,People,Other_4,403,2732
3.46989899,0.040501401,0.072011077,0.528225806,5.5,0.428916037,1,Grace in Christianity,Philosophy and religion,Concepts_4,220,1367
0.702292441,0.039459823,0.097394387,0.550161812,5.166666667,0.497288069,1,Kanchipuram,Geography,South India,284,1952
1.128342246,0.044069091,0.116134814,0.550943396,4.833333333,0.440542904,1,Ethan Allen,People,United States,262,1639
2.583396657,0.054383568,0.123260961,0.579945799,4.166666667,0.412895329,1,History of the Middle East,History,History by region,378,2542
2.222634508,0.057763017,0.105977439,0.627802691,4.153846154,0.407132245,1,Desert climate,Physical sciences,Climates,211,1445
0.900673401,0.052362486,0.128006671,0.605809129,4.153846154,0.395806616,1,Cricket bat,Everyday life,Sports equipment,236,1477
0.837145219,0.077402105,0.147946745,0.518181818,3.75862069,0.378943133,1,Dominican Republic,Geography,Caribbean_2,421,2898
1.070955535,0.063164132,0.155121284,0.536656891,3.631578947,0.353754182,1,Guinea,Geography,West Africa,323,2160
3.217647059,0.051144638,0.119477656,0.616740088,4.727272727,0.441243295,1,American frontier,History,North America,215,1490
5.129973475,0.05938739,0.176043654,0.570934256,4,0.364091208,1,Gnaeus Naevius,People,Europe_5,256,1715
1.64648318,0.058737632,0.128072937,0.575757576,3.95,0.379718844,1,Brett Hull,People,Wingers,345,2094
1.331046312,0.045743381,0.115210179,0.623931624,5,0.513600518,1,Acrobatic gymnastics,Everyday life,Other individual sports,221,1576
2.179439252,0.088408281,0.13163003,0.540650407,3.2,0.345113491,1,Cagayan de Oro,Geography,Mindanao,221,1452
1.081632653,0.043876872,0.082222281,0.532307692,4.571428571,0.522730225,1,Intertidal zone,Physical sciences,Oceanography,303,2037
1.308163265,0.046764357,0.101723191,0.537383178,4.7,0.513135748,1,Covalent bond,Physical sciences,Chemical bonds,209,1366
1.664687976,0.052702455,0.118769461,0.539951574,4.25,0.428434278,1,Gustav Mahler,People,Romantic,378,2607
2.466386555,0.081894768,0.196449624,0.5591133,3.166666667,0.361211162,1,Chuck Berry,People,Rock,377,2391
1.848484848,0.046215509,0.131382545,0.561452514,4.5625,0.451718345,1,Cardinal Mazarin,People,France_2,358,2356
1.644356955,0.077645862,0.151686133,0.558718861,3.6,0.362515944,1,Demiurge,Philosophy and religion,Abrahamic and Judaic mythology,275,1884
3.297286822,0.049219406,0.110178225,0.58677686,4.666666667,0.504774866,1,Continuity (fiction),Arts,Narrative,217,1617
1.171455051,0.044956157,0.077472915,0.575091575,5.153846154,0.501919954,1,Deinosuchus,Biology and health sciences,Prehistoric crocodiles,255,1755
3.349282297,0.043410607,0.090637005,0.565789474,4.6,0.484028375,1,Burgundians,History,Europe_4,217,1430
1.216666667,0.050374633,0.105610203,0.534246575,4.636363636,0.438483618,1,Attractor,Mathematics,Dynamical systems,199,1405
1.235087719,0.041691734,0.118690225,0.58778626,4.6,0.357253275,1,K-pop,Arts,Popular music: General,229,1527
4.396135266,0.044814025,0.078683702,0.555555556,5.4,0.466289379,1,Clement of Alexandria,People,Pre-Schism,206,1442
0.624637681,0.045762203,0.107503413,0.604651163,5.333333333,0.47356847,1,Geology,Physical sciences,Science and medicine,242,1732
1.706926407,0.060531736,0.126340156,0.544378698,4.157894737,0.430149276,1,John C. Breckinridge,People,Other_4,333,2198
1.13377193,0.047856607,0.084805219,0.661290323,4,0.425285477,1,Abd al-Mu'min,People,Africa_2,192,1270
1.744755245,0.096856118,0.17364241,0.64628821,2.8,0.343289514,1,André Previn,People,Pianists,224,1480
1.189199255,0.072095116,0.173213514,0.546632124,3.576923077,0.3486068,1,James F. Byrnes,People,Other_10,364,2380
0.941016581,0.061119354,0.116237599,0.534810127,3.944444444,0.43809686,1,Arameans,History,Western Asia,294,1978
1.752252252,0.04919782,0.083438159,0.598393574,4.416666667,0.479288292,1,Ganesha,Philosophy and religion,Hindu mythology,233,1513
1.127643115,0.062443613,0.138149579,0.568253968,3.388888889,0.356137814,1,Johan Cruyff,People,Association football,294,1894
1.114690364,0.056761152,0.166660287,0.560655738,4.1875,0.428739911,1,Andrei Gromyko,People,USSR,299,1907
0.715458937,0.040585667,0.085782724,0.574468085,4.3,0.497145356,1,Common blackbird,Biology and health sciences,Passerida,199,1327
1.647119342,0.048983686,0.095353463,0.6133829,4.692307692,0.461403317,1,Alan Turing,People,Mathematicians,255,1715
0.650717703,0.042923573,0.078118728,0.545774648,4.75,0.49374477,1,Bengal,Geography,Asia: General,253,1659
0.73019802,0.047192581,0.097706513,0.64,4.727272727,0.416794523,1,Illusions perdues,Arts,19th century fiction,210,1444
3.210622711,0.047583011,0.08731122,0.575,4.538461538,0.450749263,1,Kelp forest,Physical sciences,Oceanography,271,1798
2.37254902,0.075337748,0.155819805,0.55982906,3.75,0.354471286,1,Joseph Karo,People,Judaism,207,1382
1.156954887,0.057101621,0.090024931,0.580204778,3.882352941,0.488491731,1,Electric battery,Technology,Energy,284,2088
2.321146953,0.062245287,0.125832572,0.557377049,4.055555556,0.407631328,1,Existence of God,Philosophy and religion,Philosophy of religion,293,2019
1.615237253,0.04984506,0.10908549,0.546341463,4.85,0.499184491,1,Great Migration (African American),History,Americas_5,408,2743
0.891919192,0.060719085,0.133523122,0.556485356,3.846153846,0.354393867,1,Aulus Cornelius Cossus,People,Early republican period,225,1463
1.2061515,0.0545574,0.106585984,0.585443038,4.5,0.432267039,1,Brooklyn Bridge,Technology,Transport infrastructure,291,1997
1.865079365,0.060122892,0.118751778,0.579710145,3.684210526,0.404489474,1,Gregor Strasser,People,Nazi Germany,335,2164
0.439266616,0.055474897,0.097842265,0.558935361,4,0.385244061,1,Conrad Veidt,People,Europe,249,1502
2.412195122,0.051191851,0.10810798,0.586666667,4.818181818,0.380266734,1,Ephesus,History,Asia_3,217,1361
2.036363636,0.050162531,0.106521763,0.590163934,4.666666667,0.423243352,1,Joaquin Murrieta,People,"Thievery, robbery and hijacking",235,1503
1.277177368,0.057667034,0.119996962,0.573584906,4.666666667,0.452014392,1,Charles Boycott,People,Other_3,258,1709
0.913043478,0.040469914,0.137812594,0.515267176,5,0.455267249,1,Celtic nations,Geography,Europe and Russia: General,224,1488
3.113270142,0.059025406,0.144224487,0.620689655,3.846153846,0.39239425,1,Burton Richter,People,Physics,219,1510
1.50855615,0.046759287,0.084035646,0.618357488,4.4,0.540347476,1,Financial crisis,Society and social sciences,Banking and financing,201,1505
1.206122449,0.045388097,0.083626624,0.587962963,4.9,0.525509394,1,Cadaver,Biology and health sciences,Human anatomy,201,1440
1.207843137,0.069180479,0.141055361,0.465546218,3.815789474,0.398544488,1,Dragon Ball,Arts,Manga,539,3503
0.636597938,0.035116985,0.072440795,0.6,5.25,0.480198716,1,Gloucestershire,Geography,United Kingdom,202,1341
1.72293578,0.053597097,0.112708348,0.587044534,4.230769231,0.423440114,1,Acherontia lachesis,Biology and health sciences,Lepidoptera,227,1519
0.751388889,0.076816937,0.123514312,0.542944785,3.375,0.420791229,1,John Woo,People,Asia_5,304,1947
1.30445151,0.052248667,0.083633313,0.531914894,3.941176471,0.482388809,1,Clock,Technology,Navigation and timekeeping,313,2043
1.877851361,0.053286803,0.094207936,0.586510264,4.111111111,0.523506935,1,Data mining,Technology,Computer software,323,2467
2.218390805,0.084791537,0.160290183,0.571942446,2.96,0.379955413,1,Horses (album),Arts,Rock_2,243,1686
2.020699301,0.041083812,0.085888363,0.547770701,4.846153846,0.473082156,1,Grisons,Geography,Switzerland,289,2012
6.388538576,0.06129348,0.186554466,0.54855643,4.15,0.375571765,1,Battle of Marathon,History,Europe_2,353,2353
1.826336375,0.040759856,0.087031266,0.506289308,5,0.494417342,1,Christian ethics,Philosophy and religion,Theology,298,2049
0.731207956,0.084300249,0.179249049,0.570032573,3.291666667,0.363557602,1,Auguste Rodin,People,Sculptors,275,1850
1.330143541,0.051475926,0.110493053,0.595652174,4.416666667,0.460868334,1,Baybars,People,Africa_3,230,1494
1.845208845,0.045607374,0.08813538,0.521912351,4.818181818,0.489798996,1,Friction,Physical sciences,Classical mechanics,215,1467
2.346021712,0.049308074,0.094622217,0.501187648,4.5,0.479937467,1,John C. Frémont,People,Modern,394,2608
0.418079096,0.047899419,0.085325742,0.562737643,4.307692308,0.467211688,1,Book of Job,Philosophy and religion,Books of the Bible,240,1576
1.826765509,0.05442556,0.093380918,0.62992126,4.071428571,0.4310186,1,Alan Shepard,People,Space travelers,250,1580
3.399890889,0.047527149,0.09427384,0.560126582,4.857142857,0.401702386,1,Indus River,Geography,Asia_2,297,1973
1.93683312,0.05985117,0.104318929,0.598290598,4,0.416783719,1,Joseph Saidu Momoh,People,Sierra Leone,212,1441
0.583838384,0.084652219,0.209405536,0.615740741,3,0.313749689,1,"Edmund Allenby, 1st Viscount Allenby",People,Britain_2,205,1348
1.3441247,0.04555381,0.070758503,0.511111111,4.428571429,0.466882947,1,Gwalior,Geography,Central India,285,1826
1.037476809,0.077126681,0.171576894,0.583916084,2.833333333,0.353693454,1,Bohemian Rhapsody,Arts,Modern,260,1718
0.810863874,0.035557261,0.07385817,0.657407407,5.5,0.434854765,1,Dark ride,Everyday life,Amusement parks,196,1395
1.130630631,0.04494046,0.064418249,0.552845528,4.75,0.494639114,1,Ephedrine,Biology and health sciences,Specific drugs,235,1619
1.709090909,0.057915024,0.118597453,0.556776557,4,0.329352439,1,A. Philip Randolph,People,United States_4,269,1770
1.399540758,0.046708517,0.113273904,0.576666667,5,0.474363218,1,Chalcolithic,History,Ancient: General,290,2042
1.534605312,0.055455081,0.105599577,0.626415094,3.928571429,0.382085293,1,Easter Island,Geography,South America_3,268,1737
2.217770035,0.046979712,0.089737945,0.553424658,4.0625,0.430359537,1,Abby Wambach,People,Others,334,2176
1.399789695,0.043697573,0.078603835,0.52892562,4.625,0.491589687,1,Amiens,Geography,France,336,2254
1.612173234,0.08356015,0.141665512,0.575645756,3.227272727,0.3691468,1,Hole (band),People,Alternative rock,239,1589
1.284376672,0.046142946,0.095894444,0.549342105,4.642857143,0.504105927,1,Frostbite,Biology and health sciences,Injury,265,1848
2.479643766,0.062879945,0.152957506,0.587628866,3.529411765,0.361555099,1,Dunkirk evacuation,History,World War II,285,1887
0.767590618,0.049184282,0.088488771,0.539956803,4.409090909,0.484237439,1,Bacteria,Biology and health sciences,Biology,419,3116
1.384756098,0.052229873,0.108553875,0.627705628,4.545454545,0.33574149,1,Aki Kaurismäki,People,Europe_4,207,1394
1.701797491,0.048493184,0.107152416,0.481318681,4.19047619,0.459092745,1,Dutch language,Society and social sciences,Germanic languages,425,2886
1,0.065471223,0.113205911,0.622119816,4.076923077,0.415066535,1,Arthur Koestler,People,UK and Ireland,195,1366
1.704395604,0.052798769,0.115692646,0.563862928,4.3125,0.432016993,1,Haridwar,Geography,North India,288,1867
2.135221562,0.047178382,0.087990345,0.618181818,4.909090909,0.512503668,1,Dieting,Everyday life,Basics,192,1348
0.78,0.049058209,0.091840356,0.630630631,4.363636364,0.415578454,1,Aldus Manutius,People,Media and communication,209,1444
1.588753388,0.069035289,0.157125171,0.555248619,3.708333333,0.402613683,1,Jean-Baptiste Colbert,People,Other_2,336,2428
0.947120419,0.045100916,0.089621909,0.650717703,5,0.519444764,1,Army ant,Biology and health sciences,Hymenoptera,205,1359
2.527777778,0.035387536,0.100419996,0.527950311,5.454545455,0.479675641,1,Celtic art,Arts,Prehistoric and ancient art,291,1957
0.868841083,0.043182164,0.11522599,0.559322034,4.75,0.438435555,1,Anthony Braxton,People,Jazz and related genres,272,1928
1.982352941,0.041598961,0.095071961,0.585152838,5,0.483878326,1,C4 carbon fixation,Biology and health sciences,Basics,227,1626
0.962745098,0.04371025,0.088403279,0.511827957,4.75,0.494952485,1,Chinese opera,Arts,Theatre,441,3100
2.56122449,0.052945383,0.09854239,0.548148148,4.5,0.549242093,1,Fertilizer,Technology,Food and health,235,1760
1.479468599,0.043767416,0.091517521,0.671568627,4,0.526952594,1,George Steinbrenner,People,Baseball_2,202,1406
0.507759156,0.047980521,0.096570038,0.584541063,4.8,0.459992431,1,Gurdwara,Philosophy and religion,Sikhism,194,1273
2.890027322,0.041571089,0.087385929,0.508860759,4.625,0.423697867,1,Canaan Banana,People,Zimbabwe and Rhodesia,364,2400
1.52685422,0.060538625,0.125641706,0.497560976,3.863636364,0.407511045,1,Economy of South Korea,Society and social sciences,Economy by country,380,2716
1.793310463,0.050872038,0.113430876,0.60944206,4.5,0.474021267,1,Ice shelf,Physical sciences,Glaciology,227,1514
1.340174672,0.053112768,0.169468963,0.524904215,4.230769231,0.400990466,1,Giza pyramid complex,Arts,Africa,247,1549
0.695652174,0.050218594,0.099496334,0.591111111,4.454545455,0.45302064,1,Heinrich Harrer,People,Human geographers and cartographers,206,1262
1.728571429,0.058420431,0.128614633,0.555555556,4.043478261,0.457012153,1,Ebola,Biology and health sciences,Infectious disease,391,2800
1.384939442,0.06595846,0.182432492,0.561181435,3.571428571,0.378195509,1,Claudia Cardinale,People,Europe_2,206,1338
1.712424242,0.083480917,0.264047366,0.556231003,3.043478261,0.315864207,1,Blur (band),People,Alternative rock,287,1890
1.916725352,0.057024131,0.116338713,0.515306122,4.619047619,0.426312523,1,Jan Matejko,People,Modern era,370,2418
0.984761905,0.05810445,0.135249098,0.537537538,4.111111111,0.386226118,1,Edward the Elder,People,Monarchs of England,321,2172
0.69770329,0.042092694,0.093032574,0.61,5.111111111,0.54037893,1,Heterosexuality,Everyday life,Sexuality and gender,187,1456
0.789915966,0.0502249,0.078737124,0.601503759,4.071428571,0.503996798,1,Inline skates,Everyday life,Sports equipment,232,1569
2.27294686,0.042833287,0.097604747,0.627358491,4.888888889,0.467976991,1,History of Asia,History,History by region,192,1310
1.307829978,0.045316569,0.098841279,0.537993921,5,0.495255828,1,Adolphe Thiers,People,France_3,322,2182
3.006576402,0.047328024,0.106397332,0.594594595,4.916666667,0.454173597,1,John Searle,People,Americas,245,1710
1.771764706,0.0601012,0.121001496,0.480392157,4,0.40404311,1,Elision,Society and social sciences,Sound change and alternation,342,2228
1.808080808,0.0595475,0.112151117,0.584677419,4,0.41539502,1,House of Cards (American TV series),Arts,Post-1999,226,1461
1.721470019,0.041031768,0.117821575,0.538461538,5.363636364,0.464943647,1,Ancient Mesopotamian underworld,History,Western Asia,252,1660
