perplexity,perplexity_std,char_std,word_std,intrinsic_dimensions,temporal_burstiness,syntactic_burstiness,wd_burstiness,semantic_burstiness,sentence_burstiness,word_burstiness,syntax_burstiness,unique_words,syntactic_depth,syntactic_repetitiveness,ai,title,topic,section,words,chars
9.245384216,7.947502577,45.31797666,7.085079189,10.48315341,1.830833631,16.30127932,0.004160055,0.194264164,2.053673264,0.034474225,0.102093213,0.51641791,7.0,0.435089172,1,Gloria Estefan,People,Popular music: General,271,1756
14.98782158,5.081386917,44.75116386,7.612530281,10.88049754,1.888035597,18.68181818,0.004503547,0.151335958,2.544173442,0.038233977,0.098015257,0.606060606,6.444444444,0.482816138,1,Baryon asymmetry,Physical sciences,Particle physics: General,205,1443
10.40360737,5.179369279,59.66183402,8.793187878,10.87537664,2.643567875,17.6914099,0.00322377,0.165233334,1.07960199,0.041009795,0.089362853,0.527233115,6.555555556,0.485635261,1,James G. Blaine,People,Other_4,403,2732
12.36743546,2.751051098,40.29067936,7.410066863,10.61332892,1.500940439,11.99580052,0.00484299,0.19628116,2.745454545,0.04227849,0.081026466,0.527559055,6.0,0.472886409,1,Grace in Christianity,Philosophy and religion,Concepts_4,220,1367
9.402246475,3.687117404,26.29044503,3.118047822,8.841026091,2.218385992,15.8452381,0.0040815,0.191152766,0.410798122,0.037454012,0.092963442,0.514880952,6.5,0.464763034,1,Kanchipuram,Geography,South India,284,1952
11.02224445,3.331486778,27.60704186,4.801859144,9.791674253,3.219999052,14.12576112,0.00422163,0.095431533,0.968077724,0.03526873,0.074812814,0.508196721,7.727272727,0.485391818,1,Ethan Allen,People,United States,262,1639
9.967784882,4.693743815,50.57728959,7.295660811,10.86760331,5.582149211,26.18044256,0.003070181,0.166440286,2.112169312,0.037312561,0.08265658,0.485193622,6.6,0.470143743,1,History of the Middle East,History,History by region,378,2542
14.25843906,7.09992527,35.18264035,5.796835843,10.15839548,1.193212047,17.79100529,0.004511661,0.13684815,1.751831107,0.043818555,0.119275201,0.592592593,5.181818182,0.483987339,1,Desert climate,Physical sciences,Climates,211,1445
16.29314613,6.010543985,29.02492517,4.559976801,10.78942101,1.861222066,17.38288678,0.004398543,0.20025,0.969183359,0.039041152,0.101027034,0.558052434,5.909090909,0.503964995,1,Cricket bat,Everyday life,Sports equipment,236,1477
9.845206261,8.063250196,28.86898479,4.120081219,10.26916998,5.125089545,26.5481776,0.003161194,0.088466855,0.766095762,0.041287041,0.087684553,0.485089463,6.947368421,0.445134206,1,Dominican Republic,Geography,Caribbean_2,421,2898
9.454210281,10.04062751,34.89466657,6.029265363,9.639736837,2.908926729,19.29161905,0.003756661,0.096686734,1.575630252,0.038993542,0.147925746,0.506666667,6.142857143,0.446456996,1,Guinea,Geography,West Africa,323,2160
13.38819981,5.104885238,49.92083733,8.176184929,12.06890481,3.543015124,14.64081886,0.004179104,0.209467282,3.109302326,0.042378705,0.095829088,0.568548387,6.4,0.426240434,1,American frontier,History,North America,215,1490
17.15071869,7.270543577,71.08125195,10.56397809,11.09216929,2.207731214,12.13181149,0.004129588,0.190584501,4.049479167,0.040518502,0.155327524,0.570446735,6.583333333,0.436320558,1,Gnaeus Naevius,People,Europe_5,256,1715
8.743813515,5.453063419,47.37611311,7.913349086,11.41821582,3.194137022,16.90178117,0.003617527,0.197047611,1.744927536,0.039959456,0.096294648,0.521628499,6.866666667,0.454285566,1,Brett Hull,People,Wingers,345,2094
11.71354675,12.0619613,32.25313105,4.561788833,9.72188677,1.854736535,18.62027103,0.004515488,0.123018221,1.035787742,0.043449551,0.094662914,0.56916996,6.545454545,0.536628622,1,Acrobatic gymnastics,Everyday life,Other individual sports,221,1576
9.905550957,6.651909981,41.23646785,6.855051826,9.62789756,1.766844356,10.27363476,0.004635455,0.170554111,2.212217195,0.038456518,0.06862048,0.538167939,6.7,0.440041684,1,Cagayan de Oro,Geography,Mindanao,221,1452
