perplexity,perplexity_std,char_std,word_std,intrinsic_dimensions,temporal_burstiness,syntactic_burstiness,wd_burstiness,semantic_burstiness,sentence_burstiness,word_burstiness,syntax_burstiness,unique_words,syntactic_depth,syntactic_repetitiveness,ai,title,topic,section,words,chars
10.56669712,5.880802222,43.13212452,7.170877743,11.67240599,1.140899123,62.24761905,0.004004841,0.190377101,2.126452495,0.086777112,0.186717557,0.590909091,2.695652174,0.3396271,1,Gloria Estefan,People,Popular music: General,271,1756
16.25735855,7.660828548,43.29171791,6.556497108,12.29627727,0.836458696,56.13361522,0.004734764,0.159497564,2.03625731,0.053942051,0.115910207,0.680751174,4.75,0.415617265,1,Baryon asymmetry,Physical sciences,Particle physics: General,205,1443
16.65300369,5.500238956,52.34797035,6.913754407,16.02729657,2.025636672,92.08054226,0.003274621,0.127426797,0.794152047,0.057067196,0.126982517,0.552631579,3.739130435,0.398966147,1,James G. Blaine,People,Other_4,403,2732
10.60241032,5.546160829,43.97181667,8.424678428,11.88677349,1.307915058,67.84554335,0.004923116,0.127794768,3.46989899,0.040501401,0.072011077,0.528225806,5.5,0.428916037,1,Grace in Christianity,Philosophy and religion,Concepts_4,220,1367
11.20676613,6.823353105,30.41232846,3.967751952,14.93585314,1.611839031,85.19781683,0.004067353,0.156918565,0.702292441,0.039459823,0.097394387,0.550161812,5.166666667,0.497288069,1,Kanchipuram,Geography,South India,284,1952
12.83580112,5.416127625,30.86708375,4.940973906,12.64695102,1.237856118,61.61161103,0.004456127,0.15035549,1.128342246,0.044069091,0.116134814,0.550943396,4.833333333,0.440542904,1,Ethan Allen,People,United States,262,1639
12.86225128,4.688816678,66.46887325,9.17205229,12.87927006,2.870309659,84.95335554,0.00329802,0.145916921,2.583396657,0.054383568,0.123260961,0.579945799,4.166666667,0.412895329,1,History of the Middle East,History,History by region,378,2542
11.75987816,2.39577525,35.98254857,6.293115745,11.62906776,1.216492002,60.02204783,0.004741879,0.196022277,2.222634508,0.057763017,0.105977439,0.627802691,4.153846154,0.407132245,1,Desert climate,Physical sciences,Climates,211,1445
14.65367222,6.000330823,24.89282814,4.20546673,12.3254854,1.18079922,69.21028807,0.004582054,0.157148544,0.900673401,0.052362486,0.128006671,0.605809129,4.153846154,0.395806616,1,Cricket bat,Everyday life,Sports equipment,236,1477
15.85409355,4.845712985,29.31375784,4.102563215,13.93389404,3.225926702,95.21293706,0.003183197,0.206369996,0.837145219,0.077402105,0.147946745,0.518181818,3.75862069,0.378943133,1,Dominican Republic,Geography,Caribbean_2,421,2898
10.26075077,3.706950434,33.1933882,4.80645824,13.11833063,2.170332498,75.49538387,0.003851321,0.1908582,1.070955535,0.063164132,0.155121284,0.536656891,3.631578947,0.353754182,1,Guinea,Geography,West Africa,323,2160
13.42876053,5.351630847,55.40045126,8.10185164,12.97078279,1.689019608,53.95670996,0.004293385,0.157182974,3.217647059,0.051144638,0.119477656,0.616740088,4.727272727,0.441243295,1,American frontier,History,North America,215,1490
